Alex Caruso	O 6.5  +100	U 6.5  −130	Alex Caruso	O 3.5  +110	U 3.5  −140	SAC KingsatPHO SunsTODAY 10:10PM			Jabari Smith	O 1.5  +110	U 1.5  −140
Alperen Sengun	O 13.5  −125	U 13.5  −105	Alperen Sengun	O 8.5  −115	U 8.5  −115	PLAYER	OVER	UNDER	Jalen Green	O 2.5  −110	U 2.5  −120
DeMar DeRozan	O 22.5  −115	U 22.5  −115	DeMar DeRozan	O 4.5  +125	U 4.5  −155	Chris Paul	O 9.5  −110	U 9.5  −120	Kenyon Martin Jr.	O 0.5  −130	U 0.5  +100
Jabari Smith	O 12.5  +100	U 12.5  −130	Jabari Smith	O 7.5  +110	U 7.5  −140	De'Aaron Fox	O 6.5  −125	U 6.5  −105	Nikola Vucevic	O 1.5  −105	U 1.5  −125
Jalen Green	O 23.5  −105	U 23.5  −125	Jalen Green	O 2.5  −175	U 2.5  +140	Devin Booker	O 6.5  +105	U 6.5  −135	Patrick Beverley	O 0.5  −235	U 0.5  +190
Kenyon Martin Jr.	O 12.5  −120	U 12.5  −110	Kenyon Martin Jr.	O 5.5  −120	U 5.5  −110	Domantas Sabonis	O 6.5  −130	U 6.5  +100	Zach LaVine	O 2.5  −165	U 2.5  +135
Nikola Vucevic	O 18.5  +100	U 18.5  −130	Nikola Vucevic	O 10.5  −140	U 10.5  +110	Kevin Huerter	O 2.5  −130	U 2.5  +100	OKC ThunderatNO PelicansTODAY 8:40PM		
Zach LaVine	O 27.5  −115	U 27.5  −115	Patrick Beverley	O 4.5  +115	U 4.5  −145				PLAYER	OVER	UNDER
OKC ThunderatNO PelicansTODAY 8:40PM			Zach LaVine	O 4.5  +115	U 4.5  −145				Josh Giddey	O 0.5  −235	U 0.5  +190
PLAYER	OVER	UNDER	OKC ThunderatNO PelicansTODAY 8:40PM						Luguentz Dort	O 1.5  −150	U 1.5  +120
Josh Giddey	O 16.5  −130	U 16.5  +100	PLAYER	OVER	UNDER				Shai Gilgeous-Alexander	O 0.5  −185	U 0.5  +150
Luguentz Dort	O 13.5  −120	U 13.5  −110	Josh Giddey	O 7.5  −105	U 7.5  −125				SAC KingsatPHO SunsTODAY 10:10PM		
Shai Gilgeous-Alexander	O 31.5  −105	U 31.5  −125	Luguentz Dort	O 4.5  +135	U 4.5  −165				PLAYER	OVER	UNDER
SAC KingsatPHO SunsTODAY 10:10PM			Shai Gilgeous-Alexander	O 5.5  +110	U 5.5  −140				Chris Paul	O 1.5  −130	U 1.5  +100
PLAYER	OVER	UNDER	SAC KingsatPHO SunsTODAY 10:10PM						De'Aaron Fox	O 1.5  +135	U 1.5  −165
Chris Paul	O 14.5  −110	U 14.5  −120	PLAYER	OVER	UNDER				Deandre Ayton	O 0.5  +1000	U 0.5  −2100
De'Aaron Fox	O 25.5  −120	U 25.5  −110	Chris Paul	O 3.5  −145	U 3.5  +115				Devin Booker	O 2.5  −110	U 2.5  −120
Deandre Ayton	O 18.5  −105	U 18.5  −125	De'Aaron Fox	O 3.5  −155	U 3.5  +125				Domantas Sabonis	O 0.5  +190	U 0.5  −235
Devin Booker	O 31.5  −105	U 31.5  −125	Deandre Ayton	O 10.5  −125	U 10.5  −105				Harrison Barnes	O 1.5  +115	U 1.5  −145
Domantas Sabonis	O 18.5  −130	U 18.5  +100	Devin Booker	O 5.5  +125	U 5.5  −155				Keegan Murray	O 2.5  +135	U 2.5  −165
Harrison Barnes	O 14.5  −110	U 14.5  −120	Domantas Sabonis	O 12.5  −130	U 12.5  +100				Kevin Huerter	O 2.5  +115	U 2.5  −145
Keegan Murray	O 10.5  −125	U 10.5  −105	Harrison Barnes	O 4.5  −105	U 4.5  −125						
Kevin Huerter	O 14.5  −110	U 14.5  −120	Keegan Murray	O 4.5  −140	U 4.5  +110						
Kevin Huerter	O 14.5  −110	U 14.5  −120	Kevin Huerter	O 3.5  +120	U 3.5  −150						
