NY KnicksatLA ClippersTODAY 4:10PM			NY KnicksatLA ClippersTODAY 4:10PM			NY KnicksatLA ClippersTODAY 4:10PM			NY KnicksatLA ClippersTODAY 4:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Immanuel Quickley	O 18.5  −120	U 18.5  −110	Immanuel Quickley	O 3.5  −165	U 3.5  +135	Immanuel Quickley	O 5.5  +105	U 5.5  −135	Immanuel Quickley	O 2.5  −125	U 2.5  −105
Ivica Zubac	O 8.5  −130	U 8.5  +100	Ivica Zubac	O 7.5  −115	U 7.5  −115	Julius Randle	O 4.5  +100	U 4.5  −130	Julius Randle	O 3.5  −115	U 3.5  −115
Julius Randle	O 28.5  −125	U 28.5  −105	Julius Randle	O 8.5  −140	U 8.5  +110	Kawhi Leonard	O 3.5  −135	U 3.5  +105	Kawhi Leonard	O 2.5  +120	U 2.5  −150
Kawhi Leonard	O 26.5  −110	U 26.5  −120	Kawhi Leonard	O 6.5  −120	U 6.5  −110	Paul George	O 4.5  +100	U 4.5  −130	Paul George	O 2.5  −145	U 2.5  +115
Mitchell Robinson	O 8.5  −110	U 8.5  −120	Mitchell Robinson	O 9.5  +100	U 9.5  −130	RJ Barrett	O 2.5  −150	U 2.5  +120	Quentin Grimes	O 1.5  −160	U 1.5  +130
Paul George	O 24.5  −120	U 24.5  −110	Paul George	O 6.5  +115	U 6.5  −145	Russell Westbrook	O 6.5  −140	U 6.5  +110	RJ Barrett	O 1.5  −135	U 1.5  +105
Quentin Grimes	O 10.5  −105	U 10.5  −125	Quentin Grimes	O 2.5  −120	U 2.5  −110	UTA JazzatCHA HornetsTODAY 7:10PM			Russell Westbrook	O 0.5  −220	U 0.5  +180
RJ Barrett	O 22.5  −105	U 22.5  −125	RJ Barrett	O 5.5  +125	U 5.5  −155	PLAYER	OVER	UNDER	IND PacersatDET PistonsTODAY 7:10PM		
Russell Westbrook	O 13.5  −115	U 13.5  −115	Russell Westbrook	O 4.5  −125	U 4.5  −105	Gordon Hayward	O 5.5  −125	U 5.5  −105	PLAYER	OVER	UNDER
IND PacersatDET PistonsTODAY 7:10PM			IND PacersatDET PistonsTODAY 7:10PM			PJ Washington	O 2.5  −125	U 2.5  −105	Isaiah Livers	O 2.5  +110	U 2.5  −140
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Terry Rozier	O 6.5  +115	U 6.5  −145	James Wiseman	O 0.5  +380	U 0.5  −520
Isaiah Livers	O 11.5  −105	U 11.5  −125	Isaiah Livers	O 3.5  −135	U 3.5  +105	MIA HeatatORL MagicTODAY 7:10PM			UTA JazzatCHA HornetsTODAY 7:10PM		
James Wiseman	O 15.5  −125	U 15.5  −105	James Wiseman	O 8.5  +110	U 8.5  −140	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
UTA JazzatCHA HornetsTODAY 7:10PM			UTA JazzatCHA HornetsTODAY 7:10PM			Paolo Banchero	O 3.5  +130	U 3.5  −160	Gordon Hayward	O 1.5  +175	U 1.5  −215
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	BOS CelticsatATL HawksTODAY 7:40PM			Kelly Olynyk	O 1.5  +175	U 1.5  −215
Gordon Hayward	O 16.5  −110	U 16.5  −120	Gordon Hayward	O 4.5  −155	U 4.5  +125	PLAYER	OVER	UNDER	Kelly Oubre Jr.	O 2.5  −135	U 2.5  +105
Kelly Olynyk	O 12.5  −120	U 12.5  −110	Kelly Olynyk	O 6.5  −135	U 6.5  +105	Al Horford	O 2.5  −145	U 2.5  +115	Lauri Markkanen	O 3.5  +110	U 3.5  −140
Kelly Oubre Jr.	O 22.5  −125	U 22.5  −105	Kelly Oubre Jr.	O 6.5  −135	U 6.5  +105	Jaylen Brown	O 3.5  +135	U 3.5  −165	PJ Washington	O 1.5  −175	U 1.5  +140
Lauri Markkanen	O 28.5  −105	U 28.5  −125	Lauri Markkanen	O 8.5  −145	U 8.5  +115	Jayson Tatum	O 5.5  +125	U 5.5  −155	Terry Rozier	O 2.5  −145	U 2.5  +115
PJ Washington	O 16.5  −110	U 16.5  −120	PJ Washington	O 5.5  −130	U 5.5  +100	CHI BullsatHOU RocketsTODAY 8:10PM			MIA HeatatORL MagicTODAY 7:10PM		
Terry Rozier	O 22.5  −125	U 22.5  −105	Terry Rozier	O 4.5  −115	U 4.5  −115	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Walker Kessler	O 12.5  −110	U 12.5  −120	Walker Kessler	O 11.5  −135	U 11.5  +105	Alex Caruso	O 2.5  −120	U 2.5  −110	Paolo Banchero	O 1.5  +130	U 1.5  −160
MIA HeatatORL MagicTODAY 7:10PM			MIA HeatatORL MagicTODAY 7:10PM			Alperen Sengun	O 3.5  −165	U 3.5  +135	BOS CelticsatATL HawksTODAY 7:40PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	DeMar DeRozan	O 5.5  +110	U 5.5  −140	PLAYER	OVER	UNDER
Paolo Banchero	O 19.5  −110	U 19.5  −120	Paolo Banchero	O 6.5  −115	U 6.5  −115	Jalen Green	O 3.5  −105	U 3.5  −125	Al Horford	O 1.5  −175	U 1.5  +140
BOS CelticsatATL HawksTODAY 7:40PM			BOS CelticsatATL HawksTODAY 7:40PM			Nikola Vucevic	O 2.5  −135	U 2.5  +105	Jaylen Brown	O 2.5  +110	U 2.5  −140
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Patrick Beverley	O 2.5  −175	U 2.5  +140	Jayson Tatum	O 3.5  +120	U 3.5  −150
Al Horford	O 9.5  −115	U 9.5  −115	Al Horford	O 7.5  +120	U 7.5  −150	Zach LaVine	O 3.5  −110	U 3.5  −120	CHI BullsatHOU RocketsTODAY 8:10PM		
Jaylen Brown	O 25.5  −105	U 25.5  −125	Jaylen Brown	O 7.5  +115	U 7.5  −145	OKC ThunderatNO PelicansTODAY 8:40PM			PLAYER	OVER	UNDER
Jayson Tatum	O 29.5  −115	U 29.5  −115	Jayson Tatum	O 9.5  −130	U 9.5  +100	PLAYER	OVER	UNDER	Alex Caruso	O 0.5  −185	U 0.5  +150
CHI BullsatHOU RocketsTODAY 8:10PM			CHI BullsatHOU RocketsTODAY 8:10PM			Josh Giddey	O 6.5  +100	U 6.5  −130	Alperen Sengun	O 0.5  +300	U 0.5  −400
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Shai Gilgeous-Alexander	O 5.5  +100	U 5.5  −130	DeMar DeRozan	O 0.5  +120	U 0.5  −150
