BKN NetsatDEN NuggetsTODAY 3:40PM			BKN NetsatDEN NuggetsTODAY 3:40PM			BKN NetsatDEN NuggetsTODAY 3:40PM			BKN NetsatDEN NuggetsTODAY 3:40PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Aaron Gordon	O 14.5  −125	U 14.5  −105	Aaron Gordon	O 6.5  +100	U 6.5  −130	Aaron Gordon	O 2.5  −130	U 2.5  +100	Aaron Gordon	O 0.5  −130	U 0.5  +100
Cameron Johnson	O 15.5  −115	U 15.5  −115	Cameron Johnson	O 4.5  +105	U 4.5  −135	Jamal Murray	O 6.5  +125	U 6.5  −155	Cameron Johnson	O 2.5  +125	U 2.5  −155
Dorian Finney-Smith	O 7.5  −125	U 7.5  −105	Dorian Finney-Smith	O 4.5  −130	U 4.5  +100	Kentavious Caldwell-Pope	O 2.5  −135	U 2.5  +105	Dorian Finney-Smith	O 1.5  +115	U 1.5  −145
Jamal Murray	O 21.5  −120	U 21.5  −110	Jamal Murray	O 4.5  +135	U 4.5  −165	Mikal Bridges	O 3.5  +120	U 3.5  −150	Jamal Murray	O 2.5  −135	U 2.5  +105
Kentavious Caldwell-Pope	O 10.5  −110	U 10.5  −120	Kentavious Caldwell-Pope	O 2.5  +130	U 2.5  −160	Nikola Jokic	O 10.5  +115	U 10.5  −145	Kentavious Caldwell-Pope	O 1.5  +100	U 1.5  −130
Michael Porter Jr.	O 15.5  −115	U 15.5  −115	Michael Porter Jr.	O 4.5  −130	U 4.5  +100	Spencer Dinwiddie	O 6.5  −150	U 6.5  +120	Michael Porter Jr.	O 2.5  −110	U 2.5  −120
Mikal Bridges	O 24.5  −120	U 24.5  −110	Mikal Bridges	O 4.5  −130	U 4.5  +100	CLE CavaliersatCHA HornetsTODAY 5:10PM			Mikal Bridges	O 2.5  +150	U 2.5  −185
Nicolas Claxton	O 10.5  −120	U 10.5  −110	Nicolas Claxton	O 9.5  +115	U 9.5  −145	PLAYER	OVER	UNDER	Nikola Jokic	O 0.5  −160	U 0.5  +130
Nikola Jokic	O 22.5  −110	U 22.5  −120	Nikola Jokic	O 12.5  −130	U 12.5  +100	Donovan Mitchell	O 5.5  +120	U 5.5  −150	Spencer Dinwiddie	O 2.5  +115	U 2.5  −145
Spencer Dinwiddie	O 19.5  −110	U 19.5  −120	Spencer Dinwiddie	O 3.5  +120	U 3.5  −150	WAS WizardsatPHI 76ersTODAY 6:10PM			CLE CavaliersatCHA HornetsTODAY 5:10PM		
CLE CavaliersatCHA HornetsTODAY 5:10PM			CLE CavaliersatCHA HornetsTODAY 5:10PM			PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Bradley Beal	O 5.5  +110	U 5.5  −140	Donovan Mitchell	O 3.5  −120	U 3.5  −110
Donovan Mitchell	O 29.5  −110	U 29.5  −120	Donovan Mitchell	O 4.5  +105	U 4.5  −135	James Harden	O 10.5  +100	U 10.5  −130	WAS WizardsatPHI 76ersTODAY 6:10PM		
WAS WizardsatPHI 76ersTODAY 6:10PM			WAS WizardsatPHI 76ersTODAY 6:10PM			Joel Embiid	O 3.5  −135	U 3.5  +105	PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Kristaps Porzingis	O 2.5  +120	U 2.5  −150	Bradley Beal	O 1.5  +100	U 1.5  −130
Bradley Beal	O 24.5  −115	U 24.5  −115	Bradley Beal	O 4.5  +120	U 4.5  −150	Kyle Kuzma	O 3.5  +140	U 3.5  −175	James Harden	O 2.5  −125	U 2.5  −105
Daniel Gafford	O 8.5  +105	U 8.5  −135	Daniel Gafford	O 5.5  −140	U 5.5  +110	Monte Morris	O 4.5  +110	U 4.5  −140	Joel Embiid	O 0.5  −175	U 0.5  +140
James Harden	O 22.5  +100	U 22.5  −130	James Harden	O 6.5  +100	U 6.5  −130	Tobias Harris	O 2.5  +150	U 2.5  −185	Kristaps Porzingis	O 2.5  +125	U 2.5  −155
Joel Embiid	O 32.5  −125	U 32.5  −105	Joel Embiid	O 10.5  +110	U 10.5  −140	Tyrese Maxey	O 3.5  +140	U 3.5  −175	Kyle Kuzma	O 2.5  +120	U 2.5  −150
Kristaps Porzingis	O 21.5  −140	U 21.5  +110	Kristaps Porzingis	O 8.5  +110	U 8.5  −140	OKC ThunderatSA SpursTODAY 8:10PM			Monte Morris	O 0.5  −220	U 0.5  +180
Kyle Kuzma	O 19.5  −110	U 19.5  −120	Kyle Kuzma	O 5.5  −155	U 5.5  +125	PLAYER	OVER	UNDER	P.J. Tucker	O 0.5  −115	U 0.5  −115
Monte Morris	O 8.5  +100	U 8.5  −130	Monte Morris	O 2.5  −150	U 2.5  +120	Zach Collins	O 3.5  +120	U 3.5  −150	Tobias Harris	O 1.5  +145	U 1.5  −180
Tobias Harris	O 12.5  −105	U 12.5  −125	P.J. Tucker	O 3.5  −105	U 3.5  −125	POR Trail BlazersatNO PelicansTODAY 8:10PM			Tyrese Maxey	O 2.5  +135	U 2.5  −165
Tyrese Maxey	O 20.5  −105	U 20.5  −125	Tobias Harris	O 4.5  −150	U 4.5  +120	PLAYER	OVER	UNDER	OKC ThunderatSA SpursTODAY 8:10PM		
OKC ThunderatSA SpursTODAY 8:10PM			Tyrese Maxey	O 2.5  −140	U 2.5  +110	Damian Lillard	O 7.5  −120	U 7.5  −110	PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	OKC ThunderatSA SpursTODAY 8:10PM			NY KnicksatLA LakersTODAY 10:10PM			Zach Collins	O 0.5  −175	U 0.5  +140
Zach Collins	O 13.5  −120	U 13.5  −110	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	POR Trail BlazersatNO PelicansTODAY 8:10PM		
POR Trail BlazersatNO PelicansTODAY 8:10PM			Zach Collins	O 8.5  +115	U 8.5  −145	Anthony Davis	O 2.5  −120	U 2.5  −110	PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	POR Trail BlazersatNO PelicansTODAY 8:10PM						Damian Lillard	O 3.5  −140	U 3.5  +110
Damian Lillard	O 31.5  −120	U 31.5  −110	PLAYER	OVER	UNDER				NY KnicksatLA LakersTODAY 10:10PM		
NY KnicksatLA LakersTODAY 10:10PM			Damian Lillard	O 5.5  +120	U 5.5  −150				PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	NY KnicksatLA LakersTODAY 10:10PM						Anthony Davis	O 0.5  +120	U 0.5  −150
Anthony Davis	O 26.5  −130	U 26.5  +100	PLAYER	OVER	UNDER						
Anthony Davis	O 26.5  −130	U 26.5  +100	Anthony Davis	O 12.5  +105	U 12.5  −135						
