Tyus Jones	O 15.5  −105	U 15.5  −125	Tyus Jones	O 3.5  +110	U 3.5  −140	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
BOS CelticsatHOU RocketsTODAY 8:10PM			BOS CelticsatHOU RocketsTODAY 8:10PM			Chris Paul	O 9.5  −135	U 9.5  +105	Alperen Sengun	O 0.5  +300	U 0.5  −400
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Devin Booker	O 6.5  +105	U 6.5  −135	Jabari Smith	O 1.5  −105	U 1.5  −125
Alperen Sengun	O 12.5  −125	U 12.5  −105	Alperen Sengun	O 8.5  −120	U 8.5  −110	Draymond Green	O 6.5  −105	U 6.5  −125	Jalen Green	O 2.5  +120	U 2.5  −150
Jabari Smith	O 12.5  −125	U 12.5  −105	Jabari Smith	O 6.5  −140	U 6.5  +110	Klay Thompson	O 2.5  +120	U 2.5  −150	Kenyon Martin Jr.	O 0.5  −140	U 0.5  +110
Jalen Green	O 21.5  −120	U 21.5  −110	Jalen Green	O 2.5  −165	U 2.5  +135	Stephen Curry	O 5.5  +115	U 5.5  −145	Kevin Porter Jr.	O 1.5  −180	U 1.5  +145
Kenyon Martin Jr.	O 12.5  −125	U 12.5  −105	Kenyon Martin Jr.	O 4.5  −145	U 4.5  +115	MIL BucksatSAC KingsTODAY 10:10PM			PHO SunsatGS WarriorsTODAY 10:10PM		
Kevin Porter Jr.	O 16.5  −105	U 16.5  −125	Kevin Porter Jr.	O 4.5  +100	U 4.5  −130	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
PHO SunsatGS WarriorsTODAY 10:10PM			PHO SunsatGS WarriorsTODAY 10:10PM			De'Aaron Fox	O 6.5  +100	U 6.5  −130	Chris Paul	O 1.5  −140	U 1.5  +110
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Domantas Sabonis	O 6.5  −140	U 6.5  +110	Deandre Ayton	O 0.5  +1000	U 0.5  −2100
Chris Paul	O 14.5  −125	U 14.5  −105	Chris Paul	O 4.5  −115	U 4.5  −115				Devin Booker	O 2.5  +100	U 2.5  −130
Deandre Ayton	O 18.5  −110	U 18.5  −120	Deandre Ayton	O 11.5  −110	U 11.5  −120				Draymond Green	O 0.5  +120	U 0.5  −150
Devin Booker	O 30.5  −110	U 30.5  −120	Devin Booker	O 4.5  −155	U 4.5  +125				Klay Thompson	O 3.5  −140	U 3.5  +110
Draymond Green	O 9.5  +100	U 9.5  −130	Draymond Green	O 7.5  −110	U 7.5  −120				Stephen Curry	O 4.5  −115	U 4.5  −115
Klay Thompson	O 22.5  −125	U 22.5  −105	Klay Thompson	O 3.5  −120	U 3.5  −110				MIL BucksatSAC KingsTODAY 10:10PM		
Stephen Curry	O 28.5  −105	U 28.5  −125	Stephen Curry	O 5.5  −105	U 5.5  −125				PLAYER	OVER	UNDER
MIL BucksatSAC KingsTODAY 10:10PM			MIL BucksatSAC KingsTODAY 10:10PM						De'Aaron Fox	O 1.5  +125	U 1.5  −155
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER				Domantas Sabonis	O 0.5  +165	U 0.5  −205
De'Aaron Fox	O 25.5  −120	U 25.5  −110	De'Aaron Fox	O 3.5  −165	U 3.5  +135						
Domantas Sabonis	O 18.5  −120	U 18.5  −110	Domantas Sabonis	O 11.5  −140	U 11.5  +110						
